Graph,Model,Loss Function,n_negative,Learning Rate,lambda,Duration,Steps,Loss/positive_loss,Loss/negative_loss,Loss/total_loss,Loss/dimension_regularization,GPU_usage/memory__bytes_,metrics/valid/AUC_ROC,metrics/valid/AUC_ROC max,metrics/valid/AUC_ROC max epoch,metrics/valid/MRR,metrics/valid/MRR max,metrics/valid/MRR max epoch,metrics/valid/Hits_50,metrics/valid/Hits_50 max,metrics/valid/Hits_50 max epoch,metrics/test/AUC_ROC,metrics/test/AUC_ROC max,metrics/test/AUC_ROC max epoch,metrics/test/MRR,metrics/test/MRR max,metrics/test/MRR max epoch,metrics/test/Hits_50,metrics/test/Hits_50 max,metrics/test/Hits_50 max epoch,metrics/AUC_ROC,metrics/AUC_ROC max,metrics/AUC_ROC max epoch,metrics/MRR,metrics/MRR max,metrics/MRR max epoch,metrics/Hits_50,metrics/Hits_50 max,metrics/Hits_50 max epoch
SBM-0.2-0.028,n2v,sg,-1,0.1,1.0,161,,315347.1875,473572.65625,788919.875,200.4724884033203,11368257536.0,0.7614449858665466,0.7660,16,0.011201124638319016,0.0122,2,0.0003432550292927772,0.0005,14,0.7635314464569092,0.7680,15,0.010838625021278858,0.0121,2,0.0,0.0004,22,,,,,,,,,
SBM-0.2-0.028,n2v,sg,-1,0.1,1.0,165,,315347.1875,473572.65625,788919.875,200.4724884033203,11368257536.0,0.7675256133079529,0.7706,9,0.011201124638319016,0.0122,2,0.0003432550292927772,0.0005,14,0.7698937654495239,0.7699,25,0.010838625021278858,0.0121,2,0.0,0.0004,22,,,,,,,,,
SBM-0.2-0.028,n2v,sg,10,0.1,1.0,113,26,318536.53125,472244.0625,790780.625,396.6883239746094,,,,,,,,,,,,,,,,,,,,0.766685426235199,0.7694,17,0.011408054269850254,0.0120,3,2.4517616111552343e-05,0.0003,9
SBM-0.2-0.028,n2v,sg_aug,10,0.1,0.1,110,26,26212.2890625,0.0,26212.2890625,11265840.0,,,,,,,,,,,,,,,,,,,,0.762953519821167,0.7642,24,0.011928945779800415,0.0124,16,0.0001716233091428876,0.0003,17
SBM-0.2-0.028,n2v,sg_aug,1000000,0.1,0.1,108,26,-0.0,0.0,0.0,355844608.0,,,,,,,,,,,,,,,,,,,,0.7322819828987122,0.7375,3,0.01223896723240614,0.0124,5,0.0005884227575734258,0.0006,7
SBM-0.2-0.032,n2v,sg,-1,0.1,1.0,160,,315347.1875,473572.65625,788919.875,200.4724884033203,11368257536.0,0.7679789662361145,0.7709,4,0.011201124638319016,0.0122,2,0.0003432550292927772,0.0005,14,0.7669574022293091,0.7696,15,0.010838625021278858,0.0121,2,0.0,0.0004,22,,,,,,,,,
SBM-0.2-0.032,n2v,sg,-1,0.1,1.0,165,,315347.1875,473572.65625,788919.875,200.4724884033203,11368257536.0,0.7691947221755981,0.7715,14,0.011201124638319016,0.0122,2,0.0003432550292927772,0.0005,14,0.7684051394462585,0.7692,16,0.010838625021278858,0.0121,2,0.0,0.0004,22,,,,,,,,,
SBM-0.2-0.032,n2v,sg,10,0.1,1.0,112,26,318536.53125,472244.0625,790780.625,396.6883239746094,,,,,,,,,,,,,,,,,,,,0.768301784992218,0.7706,16,0.011408054269850254,0.0120,3,2.4517616111552343e-05,0.0003,9
SBM-0.2-0.032,n2v,sg_aug,10,0.1,0.1,108,26,26212.2890625,0.0,26212.2890625,11265840.0,,,,,,,,,,,,,,,,,,,,0.7667500972747803,0.7683,20,0.011928945779800415,0.0124,16,0.0001716233091428876,0.0003,17
SBM-0.2-0.032,n2v,sg_aug,1000000,0.1,0.1,109,26,-0.0,0.0,0.0,355844608.0,,,,,,,,,,,,,,,,,,,,0.7311714887619019,0.7365,3,0.01223896723240614,0.0124,5,0.0005884227575734258,0.0006,7
