Graph,Model,Loss Function,n_negative,Learning Rate,lambda,Duration,Steps,Loss/positive_loss,Loss/negative_loss,Loss/total_loss,Loss/dimension_regularization,GPU_usage/memory__bytes_,metrics/valid/AUC_ROC,metrics/valid/AUC_ROC max,metrics/valid/AUC_ROC max epoch,metrics/valid/MRR,metrics/valid/MRR max,metrics/valid/MRR max epoch,metrics/valid/Hits_50,metrics/valid/Hits_50 max,metrics/valid/Hits_50 max epoch,metrics/test/AUC_ROC,metrics/test/AUC_ROC max,metrics/test/AUC_ROC max epoch,metrics/test/MRR,metrics/test/MRR max,metrics/test/MRR max epoch,metrics/test/Hits_50,metrics/test/Hits_50 max,metrics/test/Hits_50 max epoch
SBM-0.2-0.14,line,sg_aug,10,0.1,0.1,368,,0.149995714,0,0.149995714,416664.9688,13728256,0.525379777,0.5254,25,0.007486178,0.0076,19,0.000332138,0.0003,25,0.521639407,0.5216,24,0.007429825,0.0075,23,0.000166066,0.0002,13
SBM-0.2-0.14,line,sg_aug,1000000000,0.1,0.1,140,,0,0,0,9299603456,13728256,0.495850533,0.4996,1,0.005537926,0.0055,9,0,0,1,0.501032114,0.5014,5,0.005564612,0.0057,1,1.66E-05,0,5
SBM-0.2-0.16,line,sg,-1,0.1,1,505,,1554.708252,2108.813232,3663.521484,766831808,14132736,0.504032373,0.506,4,0.006255784,0.0064,24,8.33E-05,0.0001,24,0.500312567,0.5007,1,0.006450912,0.0065,25,0,0.0001,24
SBM-0.2-0.16,line,sg_aug,-1,0.1,0.1,457,,5.073177814,0,5.073177814,1760788.375,13728256,0.500206411,0.5024,3,0.006786391,0.007,1,0.000138877,0.0002,6,0.502722383,0.5027,25,0.006579751,0.007,2,0,0.0002,24
SBM-0.2-0.16,line,sg_aug,10,0.1,0.1,460,,10.61940002,0,10.61940002,2155552.75,13728256,0.501947939,0.5037,5,0.006768284,0.0069,4,0.000138877,0.0002,2,0.504152358,0.5047,21,0.006594077,0.007,2,0,0.0001,3
SBM-0.2-0.16,line,sg_aug,1000000000,0.1,0.1,170,,0,0,0,9610424320,13728256,0.497575939,0.4981,4,0.005415668,0.0056,3,0,0,1,0.503094196,0.5033,9,0.005577867,0.0056,10,0,0,3
SBM-0.2-0.18,line,sg,-1,0.1,1,130,,671.2174072,3205.641357,3876.858887,4091775488,14132736,0.4983643,0.5011,2,0.00621155,0.0062,6,5.56E-05,0.0001,6,0.499783009,0.5002,1,0.0062168,0.0062,5,0,0,5
SBM-0.2-0.18,line,sg,10,0.1,1,501,,103.616333,3730.187988,3833.804199,17607026688,13862400,0.502474546,0.5036,14,0.006461588,0.0065,23,2.78E-05,0.0001,2,0.501778722,0.5018,17,0.006413484,0.0065,11,0,0.0001,4
SBM-0.2-0.18,line,sg_aug,-1,0.1,0.1,456,,5.073177814,0,5.073177814,1760788.375,13728256,0.500000298,0.5011,8,0.006786391,0.007,1,0.000138877,0.0002,6,0.502861619,0.5029,25,0.006579751,0.007,2,0,0.0002,24
SBM-0.2-0.18,line,sg_aug,10,0.1,0.1,451,,10.61940002,0,10.61940002,2155552.75,13728256,0.503145814,0.5033,17,0.006768284,0.0069,4,0.000138877,0.0002,2,0.50365001,0.5037,16,0.006594077,0.007,2,0,0.0001,3
SBM-0.2-0.18,line,sg_aug,1000000000,0.1,0.1,170,,0,0,0,9610424320,13728256,0.50070107,0.5013,4,0.005415668,0.0056,3,0,0,1,0.500416219,0.5006,6,0.005577867,0.0056,10,0,0,3
SBM-0.2-0.2,line,sg,-1,0.1,1,492,,1554.708252,2108.813232,3663.521484,766831808,14132736,0.501088202,0.5022,4,0.006255784,0.0064,24,8.33E-05,0.0001,24,0.498250216,0.5007,1,0.006450912,0.0065,25,0,0.0001,24
SBM-0.2-0.2,line,sg,10,0.1,1,498,,103.616333,3730.187988,3833.804199,17607026688,13862400,0.500705898,0.5009,1,0.006461588,0.0065,23,2.78E-05,0.0001,2,0.500226438,0.5027,2,0.006413484,0.0065,11,0,0.0001,4
SBM-0.2-0.2,line,sg_aug,-1,0.1,0.1,116,,19.0164032,0,19.0164032,1187817.875,13728256,0.503725767,0.5037,6,0.006822054,0.007,1,0.000194428,0.0002,6,0.501312554,0.5015,5,0.006732815,0.007,2,0,0.0002,3
SBM-0.2-0.2,line,sg_aug,10,0.1,0.1,457,,10.61940002,0,10.61940002,2155552.75,13728256,0.499773145,0.5002,18,0.006768284,0.0069,4,0.000138877,0.0002,2,0.502507389,0.5031,15,0.006594077,0.007,2,0,0.0001,3
SBM-0.2-0.2,line,sg_aug,1000000000,0.1,0.1,169,,0,0,0,9610424320,13728256,0.496137887,0.4989,1,0.005415668,0.0056,3,0,0,1,0.50068152,0.5008,8,0.005577867,0.0056,10,0,0,3
