Graph,Model,Loss Function,n_negative,Learning Rate,lambda,n2v_p,n2v_q,time,Duration,Steps,Loss/positive_loss,Loss/negative_loss,Loss/total_loss,Loss/dimension_regularization,classifier/metrics/valid/AUC_ROC,classifier/metrics/valid/MRR,classifier/metrics/valid/Hits_1,classifier/metrics/valid/Hits_20,classifier/metrics/valid/Hits_50,classifier/metrics/valid/Hits_100,classifier/metrics/test/AUC_ROC,classifier/metrics/test/MRR,classifier/metrics/test/Hits_1,classifier/metrics/test/Hits_20,classifier/metrics/test/Hits_50,classifier/metrics/test/Hits_100,GPU_usage/memory__bytes_,metrics/valid/AUC_ROC,metrics/valid/MRR,metrics/valid/Hits_1,metrics/valid/Hits_20,metrics/valid/Hits_50,metrics/valid/Hits_100,metrics/test/AUC_ROC,metrics/test/MRR,metrics/test/Hits_1,metrics/test/Hits_20,metrics/test/Hits_50,metrics/test/Hits_100,Loss/classifier_loss
CiteSeer,n2v,sg_aug,10,0.1,100.0,1.0,0.5,01-29-12h07m,47.7572557926178,519,12.530128479003906,0.0,12.530128479003906,796.0722045898438,0.7654796838760376,0.0763123407959938,0.002197802299633622,0.01318681426346302,0.023076923564076424,0.04505494609475136,0.7454994916915894,0.0755331888794899,0.002197802299633622,0.02747252956032753,0.05384615808725357,0.07527472823858261,2094986240.0,0.7635455131530762,0.07792408764362335,0.002197802299633622,0.005494505632668734,0.017582418397068977,0.03186813369393349,0.7403725385665894,0.08361087739467621,0.002747252816334367,0.012637362815439701,0.023076923564076424,0.04175824299454689,0.42666277289390564
CiteSeer,n2v,sg_aug,100,0.1,0.1,1.0,0.5,01-29-12h15m,47.12899947166443,519,6.333329200744629,0.0,6.333329200744629,925.000244140625,0.7470174431800842,0.06951065361499786,0.0,0.007692308165132999,0.01318681426346302,0.051648352295160294,0.7343820333480835,0.07790209352970123,0.0,0.0203296709805727,0.041208792477846146,0.06428571790456772,2094986240.0,0.7628110647201538,0.07803978770971298,0.002197802299633622,0.004395604599267244,0.016483517363667488,0.025274725630879402,0.7283434271812439,0.07887999713420868,0.0,0.010989011265337467,0.014835165813565254,0.029120881110429764,0.4652477502822876
CiteSeer,n2v,sg_aug,100,0.1,1.0,1.0,0.5,01-29-12h14m,46.74552130699158,519,6.748475074768066,0.0,6.748475074768066,1222.7900390625,0.7801720499992371,0.07905226945877075,0.0,0.010989011265337467,0.021978022530674934,0.034065935760736465,0.748917281627655,0.08315888047218323,0.0,0.012087912298738956,0.0406593419611454,0.06483516842126846,2094986240.0,0.7679420113563538,0.07719390094280243,0.001098901149816811,0.002197802299633622,0.019780220463871956,0.036263737827539444,0.7372745871543884,0.0800003930926323,0.0005494505749084055,0.010989011265337467,0.029120881110429764,0.05989011377096176,0.4798732399940491
CiteSeer,n2v,sg_aug,100,0.1,10.0,1.0,0.5,01-29-12h13m,47.15877866744995,519,11.93549633026123,0.0,11.93549633026123,3425.62060546875,0.7765083909034729,0.08150998502969742,0.0,0.008791209198534489,0.017582418397068977,0.03956044092774391,0.7541500329971313,0.07710782438516617,0.001098901149816811,0.017032967880368233,0.030219782143831253,0.05714286118745804,2094986240.0,0.799913763999939,0.08078561723232269,0.002197802299633622,0.017582418397068977,0.034065935760736465,0.03956044092774391,0.7583094835281372,0.07807607203722,0.002197802299633622,0.02142857201397419,0.035164836794137955,0.053296707570552826,0.4851014018058777
CiteSeer,n2v,sg_aug,100,0.1,100.0,1.0,0.5,01-29-12h11m,47.26732778549194,519,1601.141357421875,0.0,1601.141357421875,39752.078125,0.7922675609588623,0.09254289418458939,0.002197802299633622,0.015384616330265999,0.04175824299454689,0.08241758495569229,0.7535447478294373,0.08908416330814362,0.003296703565865755,0.026923079043626785,0.05109890177845955,0.07527472823858261,2094986240.0,0.8062381148338318,0.1008048951625824,0.0,0.015384616330265999,0.032967034727334976,0.04505494609475136,0.7550130486488342,0.08664678782224655,0.0016483517829328775,0.013736264780163765,0.017582418397068977,0.04395604506134987,0.39081817865371704
CiteSeer,n2v,sg_aug,5,0.1,0.1,1.0,0.5,01-29-12h06m,47.457390785217285,519,5.378536224365234,0.0,5.378536224365234,7.928962230682373,0.7400020956993103,0.07234984636306763,0.0,0.010989011265337467,0.018681319430470467,0.04505494609475136,0.7366644740104675,0.078062042593956,0.0005494505749084055,0.008791209198534489,0.032967034727334976,0.050549451261758804,2094986240.0,0.7539660930633545,0.07819854468107224,0.003296703565865755,0.005494505632668734,0.020879121497273445,0.02857143059372902,0.7297468781471252,0.08330561965703964,0.002197802299633622,0.010439560748636723,0.02362637408077717,0.05109890177845955,0.4366043210029602
CiteSeer,n2v,sg_aug,5,0.1,1.0,1.0,0.5,01-29-12h05m,47.46423888206482,519,5.321994304656982,0.0,5.321994304656982,9.556379318237305,0.7344290018081665,0.0743887722492218,0.001098901149816811,0.009890110231935978,0.024175824597477913,0.05934066325426102,0.7393263578414917,0.08001367002725601,0.002197802299633622,0.021978022530674934,0.04450549557805061,0.05769231170415878,2094986240.0,0.7411370873451233,0.07596813142299652,0.0,0.004395604599267244,0.021978022530674934,0.03956044092774391,0.7287651896476746,0.08478701114654541,0.002197802299633622,0.015934066846966743,0.02637362852692604,0.04505494609475136,0.5077986121177673
CiteSeer,n2v,sg_aug,5,0.1,10.0,1.0,0.5,01-29-12h04m,47.357250452041626,519,4.781776428222656,0.0,4.781776428222656,16.07774543762207,0.7535746097564697,0.07395927608013153,0.0,0.00659340713173151,0.019780220463871956,0.04505494609475136,0.7413179278373718,0.08201951533555984,0.001098901149816811,0.015934066846966743,0.043406594544649124,0.06208791583776474,2094986240.0,0.755570113658905,0.08221674710512161,0.0,0.005494505632668734,0.017582418397068977,0.023076923564076424,0.7225862741470337,0.0811692327260971,0.002197802299633622,0.009340659715235233,0.01923076994717121,0.03461538627743721,0.423517107963562
CiteSeer,n2v,sg_aug,5,0.1,100.0,1.0,0.5,01-29-12h02m,47.35344672203064,519,5.476729393005371,0.0,5.476729393005371,60.1806526184082,0.7684326171875,0.07703046500682831,0.0,0.012087912298738956,0.023076923564076424,0.04285714402794838,0.7427324056625366,0.08210407942533493,0.001098901149816811,0.017032967880368233,0.04175824299454689,0.06923077255487442,2094986240.0,0.775561511516571,0.08496639877557755,0.0,0.007692308165132999,0.01318681426346302,0.02857143059372902,0.7358763813972473,0.08302551507949829,0.008241758681833744,0.012087912298738956,0.017582418397068977,0.042307693511247635,0.38951826095581055
Cora,line,sg_aug,1,0.01,0.1,1.0,1.0,01-29-12h39m,14.439105749130249,1159,0.008553003892302513,0.0,0.008553003892302513,1.3958216905593872,0.5700260996818542,0.039973605424165726,0.0009487665956839919,0.01043643243610859,0.018975332379341125,0.027514230459928513,0.5814385414123535,0.04045119136571884,0.0004739336436614394,0.004265402909368277,0.01753554493188858,0.024170616641640663,295246848.0,0.5608325004577637,0.04090559110045433,0.0,0.005692599341273308,0.014231499284505844,0.03036053106188774,0.5763307213783264,0.0395226776599884,0.0,0.006635070778429508,0.010426539927721024,0.023222748190164566,1.1381264925003052
Cora,line,sg_aug,1,0.01,1.0,1.0,1.0,01-29-12h39m,14.473610639572144,1159,0.01017048954963684,0.0,0.01017048954963684,9.966495513916016,0.5779159665107727,0.04097520560026169,0.0,0.01043643243610859,0.02087286487221718,0.028462998569011688,0.5684646964073181,0.0388551689684391,0.0,0.004265402909368277,0.015639809891581535,0.02606634981930256,295246848.0,0.5798906087875366,0.043411821126937866,0.0,0.007590132765471935,0.0180265661329031,0.027514230459928513,0.5739894509315491,0.04032048210501671,0.0,0.009004739113152027,0.011374407447874546,0.024170616641640663,1.1454617977142334
Cora,line,sg_aug,1,0.01,10.0,1.0,1.0,01-29-12h38m,14.392844915390015,1159,0.049795832484960556,0.0,0.049795832484960556,14.999479293823242,0.5874078273773193,0.04142239689826965,0.0009487665956839919,0.012333965860307217,0.021821631118655205,0.03036053106188774,0.5721549987792969,0.039716728031635284,0.0018957345746457577,0.005213269963860512,0.016587678343057632,0.025592416524887085,295246848.0,0.5789157152175903,0.0431956946849823,0.0,0.007590132765471935,0.017077798023819923,0.024667931720614433,0.5672423839569092,0.03921981528401375,0.0,0.008056871592998505,0.011374407447874546,0.02606634981930256,1.164100170135498
Cora,line,sg_aug,1,0.01,100.0,1.0,1.0,01-29-12h38m,14.340575695037842,1159,0.691264271736145,0.0,0.691264271736145,15.567008972167969,0.5814720988273621,0.03972237557172775,0.0,0.01043643243610859,0.024667931720614433,0.029411764815449715,0.5746451020240784,0.039447881281375885,0.0004739336436614394,0.006161137484014034,0.018483411520719528,0.02606634981930256,295246848.0,0.6074652671813965,0.04235764592885971,0.0,0.005692599341273308,0.016129031777381897,0.027514230459928513,0.5702660083770752,0.040937915444374084,0.0,0.004739336669445038,0.010900474153459072,0.02511848323047161,1.1954814195632935
Cora,line,sg_aug,1,0.1,0.1,1.0,1.0,02-05-09h55m,5.471640348434448,1159,5.340600910130888e-05,0.0,5.340600910130888e-05,1102.1240234375,0.6035929918289185,0.030070431530475616,0.0,0.0009487665956839919,0.004743833094835281,0.013282732106745243,0.6164011359214783,0.0278776902705431,0.0,0.0028436018619686365,0.0071090045385062695,0.012322274968028069,15712768.0,0.6148614883422852,0.034535154700279236,0.0,0.0,0.0009487665956839919,0.01518026553094387,0.6337202191352844,0.0316445454955101,0.0,0.003317535389214754,0.008530805818736553,0.016587678343057632,0.9146925210952759
Cora,line,sg_aug,1,0.1,0.1,1.0,1.0,02-05-11h52m,5.126765012741089,1159,5.340600910130888e-05,0.0,5.340600910130888e-05,1102.1240234375,0.5993860960006714,0.030070431530475616,0.0,0.0009487665956839919,0.004743833094835281,0.013282732106745243,0.6245737671852112,0.0278776902705431,0.0,0.0028436018619686365,0.0071090045385062695,0.012322274968028069,15712768.0,0.6345840096473694,0.034535154700279236,0.0,0.0,0.0009487665956839919,0.01518026553094387,0.6529614925384521,0.0316445454955101,0.0,0.003317535389214754,0.008530805818736553,0.016587678343057632,0.9146925210952759
Cora,line,sg_aug,1,0.1,0.1,1.0,1.0,02-05-12h04m,5.120826959609985,1159,5.340600910130888e-05,0.0,5.340600910130888e-05,1102.1240234375,0.5962369441986084,0.030070431530475616,0.0,0.0009487665956839919,0.004743833094835281,0.013282732106745243,0.6181939244270325,0.0278776902705431,0.0,0.0028436018619686365,0.0071090045385062695,0.012322274968028069,15712768.0,0.6225931644439697,0.034535154700279236,0.0,0.0,0.0009487665956839919,0.01518026553094387,0.6421060562133789,0.0316445454955101,0.0,0.003317535389214754,0.008530805818736553,0.016587678343057632,0.9146925210952759
Cora,line,sg_aug,1,0.1,1.0,1.0,1.0,02-05-09h55m,5.4168360233306885,1159,0.0006740401731804013,0.0,0.0006740401731804013,2466.9091796875,0.6126970052719116,0.03188426047563553,0.0,0.0018975331913679838,0.002846299670636654,0.01043643243610859,0.5940088033676147,0.032305050641298294,0.0,0.003317535389214754,0.005687203723937273,0.007582938298583031,15712768.0,0.6021657586097717,0.03621191158890724,0.0009487665956839919,0.004743833094835281,0.01043643243610859,0.014231499284505844,0.6002729535102844,0.035155389457941055,0.0,0.005213269963860512,0.010900474153459072,0.014691943302750587,0.9643253684043884
Cora,line,sg_aug,1,0.1,1.0,1.0,1.0,02-05-11h52m,5.11915397644043,1159,0.0006740401731804013,0.0,0.0006740401731804013,2466.9091796875,0.5974780917167664,0.03188426047563553,0.0,0.0018975331913679838,0.002846299670636654,0.01043643243610859,0.6001514196395874,0.032305050641298294,0.0,0.003317535389214754,0.005687203723937273,0.007582938298583031,15712768.0,0.5961560606956482,0.03621191158890724,0.0009487665956839919,0.004743833094835281,0.01043643243610859,0.014231499284505844,0.6133068203926086,0.035155389457941055,0.0,0.005213269963860512,0.010900474153459072,0.014691943302750587,0.9643253684043884
