Graph,Model,Loss Function,n_negative,Learning Rate,lambda,n2v_p,n2v_q,time,Duration,Steps,Loss/positive_loss,Loss/negative_loss,Loss/total_loss,Loss/dimension_regularization,classifier/metrics/valid/AUC_ROC,classifier/metrics/valid/MRR,classifier/metrics/valid/Hits_20,classifier/metrics/valid/Hits_50,classifier/metrics/valid/Hits_100,classifier/metrics/test/AUC_ROC,classifier/metrics/test/MRR,classifier/metrics/test/Hits_20,classifier/metrics/test/Hits_50,classifier/metrics/test/Hits_100,Loss/classifier_loss,GPU_usage/memory__bytes_,metrics/valid/AUC_ROC,metrics/valid/MRR,metrics/valid/Hits_20,metrics/valid/Hits_50,metrics/valid/Hits_100,metrics/test/AUC_ROC,metrics/test/MRR,metrics/test/Hits_20,metrics/test/Hits_50,metrics/test/Hits_100,classifier/metrics/valid/Hits_1,classifier/metrics/test/Hits_1,metrics/valid/Hits_1,metrics/test/Hits_1
Cora,line,sg,10,1.0,1.0,1.0,1.0,01-27-17h33m,5.469092130661011,1319,1623.322509765625,2245.0205078125,3868.343017578125,20972.44140625,0.5,0.0019960079807788134,0.0,0.0,0.0,0.5,0.0019960077479481697,0.0,0.0,0.0,34.53877639770508,296295424.0,0.5,0.0019960079807788134,0.0,0.0,0.0,0.5,0.0019960077479481697,0.0,0.0,0.0,,,,
Cora,n2v,sg,10,0.001,1.0,1.0,1.0,01-27-17h33m,33.75675582885742,439,206012.140625,562897.1875,768909.3125,36.46986770629883,0.6369611024856567,0.03988215699791908,0.0066413660533726215,0.021821631118655205,0.029411764815449715,0.5566787719726562,0.03275569528341293,0.012322274968028069,0.019431279972195625,0.02132701314985752,1.3676884174346924,3121920512.0,0.6422341465950012,0.03703245893120766,0.011385198682546616,0.02277039736509323,0.026565464213490486,0.5632557272911072,0.03388415649533272,0.005213269963860512,0.018483411520719528,0.023222748190164566,,,,
Cora,n2v,sg,10,0.01,1.0,1.0,1.0,01-27-17h34m,33.281734466552734,439,26260.59765625,122799.984375,149060.578125,16.527629852294922,0.9910125136375427,0.35282567143440247,0.05407969653606415,0.09962049126625061,0.196394681930542,0.8593860864639282,0.13147903978824615,0.0199052132666111,0.03649289160966873,0.061611372977495193,0.18154427409172058,3121920512.0,0.9910717606544495,0.36979618668556213,0.028462998569011688,0.10246679186820984,0.23339658975601196,0.861521303653717,0.1447218507528305,0.009478673338890076,0.026540283113718033,0.04502369463443756,,,,
Cora,n2v,sg,10,0.1,1.0,1.0,1.0,01-27-17h34m,33.60021781921387,439,26361.197265625,120598.75,146959.953125,55.619815826416016,0.9951720237731934,0.43914932012557983,0.08159393072128296,0.13282732665538788,0.2599620521068573,0.8543530106544495,0.14676958322525024,0.010900474153459072,0.03459715470671654,0.07156398147344589,0.1836996227502823,3121920512.0,0.994613766670227,0.41340145468711853,0.014231499284505844,0.07400379329919815,0.1755218207836151,0.854926586151123,0.14112123847007751,0.004265402909368277,0.024644549936056137,0.03744075819849968,,,,
Cora,n2v,sg,10,1.0,1.0,1.0,1.0,01-27-17h35m,34.28857398033142,439,319454.4375,1862344.0,2181798.5,421237.9375,0.5,0.0019960079807788134,0.0,0.0,0.0,0.5,0.0019960077479481697,0.0,0.0,0.0,34.53877639770508,3121920512.0,0.5,0.0019960079807788134,0.0,0.0,0.0,0.5,0.0019960077479481697,0.0,0.0,0.0,,,,
PubMed,line,sg,10,0.001,1.0,1.0,1.0,01-27-17h36m,44.62630081176758,11099,0.09954504668712616,42.97272491455078,43.072269439697266,53.57299041748047,0.6268134713172913,0.017836757004261017,0.003046028781682253,0.004512635525316,0.006543321069329977,0.5734825134277344,0.014163999818265438,0.0012409747578203678,0.002369133522734046,0.004230595659464598,1.1162430047988892,395253248.0,0.6580586433410645,0.023784779012203217,0.0028203970286995173,0.004399819299578667,0.007333032321184874,0.5870877504348755,0.01647082343697548,0.0013537906343117356,0.002256317762658,0.004004963673651218,,,,
PubMed,line,sg,10,0.01,1.0,1.0,1.0,01-27-17h37m,45.46887230873108,11099,0.13961860537528992,22.87169647216797,23.011314392089844,5555.0302734375,0.8740277886390686,0.07349806278944016,0.0020306860096752644,0.008122744038701057,0.017260830849409103,0.7283175587654114,0.03868946433067322,0.0009589350083842874,0.003328068647533655,0.008856046944856644,0.7319195866584778,395253248.0,0.8829799294471741,0.073980413377285,0.0005640794406645,0.007671480067074299,0.01263537909835577,0.7302485704421997,0.038462668657302856,0.0009589350083842874,0.004174187779426575,0.008404782973229885,,,,
PubMed,line,sg,10,0.1,1.0,1.0,1.0,01-27-17h38m,44.961429834365845,11099,34.53877639770508,69.07755279541016,103.6163330078125,11495.8955078125,0.8578710556030273,0.1325567364692688,0.03689079359173775,0.05370036140084267,0.08856046944856644,0.6969982385635376,0.05906114727258682,0.013594314455986023,0.02284521609544754,0.03356272727251053,0.4981497824192047,395253248.0,0.8652984499931335,0.14852069318294525,0.03768050670623779,0.06915614008903503,0.10029332339763641,0.6968508362770081,0.05835965648293495,0.009250902570784092,0.02154783345758915,0.03356272727251053,,,,
PubMed,line,sg,10,1.0,1.0,1.0,1.0,01-27-17h39m,44.683507204055786,11099,138.1551055908203,207.232666015625,345.38775634765625,52056.3046875,0.5,0.0019960079807788134,0.0,0.0,0.0,0.5,0.0019960079807788134,0.0,0.0,0.0,34.53877639770508,395253248.0,0.5,0.0019960079807788134,0.0,0.0,0.0,0.5,0.0019960079807788134,0.0,0.0,0.0,,,,
PubMed,n2v,sg,10,0.001,1.0,1.0,1.0,01-27-17h40m,187.89164519309998,3099,8547.013671875,35817.32421875,44364.3359375,691.4751586914062,0.9711150527000427,0.2306765615940094,0.05922833830118179,0.08788357675075531,0.1626805067062378,0.8505774736404419,0.13575689494609833,0.02899368293583393,0.06486913561820984,0.0969652533531189,0.42883142828941345,3157455360.0,0.9753290414810181,0.23995453119277954,0.0452391691505909,0.09487815946340561,0.17418771982192993,0.8566017746925354,0.13648033142089844,0.0274706669151783,0.06486913561820984,0.08590929210186005,,,,
